image,repository_o,size_o,layers_o,unknown_o,low_o,med_o,high_o,total_o,repository_s,size_s,layers_s,unknown_s,low_s,med_s,high_s,total_s,slimmed?,normalize_gb_o,normalize_gb_s,reduction_gb,vuln_cnt_same,vuln_same_after_slim,vulns_exist_after_slim,slimmed_some_vulns_removed
couchbase,registry.zdfowler.com:5443/couchbase,1.18GB,14,18,27,4,0,49,registry.zdfowler.com:5443/couchbase.slim,93MB,1,0,0,0,0,0,1,1.18,0.093,1.087,0,0,0,1
ubuntu,registry.zdfowler.com:5443/ubuntu,73.9MB,4,5,13,1,0,19,,,,,,,,,0,0.0739,,,,,,
redis,registry.zdfowler.com:5443/redis,104MB,6,32,12,7,0,51,registry.zdfowler.com:5443/redis.slim,22.3MB,2,0,0,0,0,0,1,0.104,0.0223,0.0817,0,0,0,1
postgres,registry.zdfowler.com:5443/postgres,313MB,14,49,18,20,0,87,registry.zdfowler.com:5443/postgres.slim,11.8MB,1,0,0,0,0,0,1,0.313,0.0118,0.3012,0,0,0,1
traefik,registry.zdfowler.com:5443/traefik,78.4MB,4,0,0,0,0,0,registry.zdfowler.com:5443/traefik.slim,72.4MB,1,0,0,0,0,0,1,0.0784,0.0724,0.006,1,1,0,0
node,registry.zdfowler.com:5443/node,943MB,9,335,201,133,25,694,,,,,,,,,0,0.943,,,,,,
mysql,registry.zdfowler.com:5443/mysql,544MB,12,47,16,13,0,76,registry.zdfowler.com:5443/mysql.slim,85MB,1,0,0,0,0,0,1,0.544,0.085,0.459,0,0,0,1
mongo,registry.zdfowler.com:5443/mongo,493MB,13,9,23,12,0,44,registry.zdfowler.com:5443/mongo.slim,107MB,1,0,0,0,0,0,1,0.493,0.107,0.386,0,0,0,1
alpine,registry.zdfowler.com:5443/alpine,5.57MB,1,0,0,0,0,0,,,,,,,,,0,0.00557,,,,,,
busybox,registry.zdfowler.com:5443/busybox,1.22MB,1,0,0,0,0,0,,,,,,,,,0,0.00122,,,,,,
mariadb,registry.zdfowler.com:5443/mariadb,407MB,13,5,15,3,0,23,registry.zdfowler.com:5443/mariadb.slim,44MB,1,0,0,0,0,0,1,0.407,0.044,0.363,0,0,0,1
httpd,registry.zdfowler.com:5443/httpd,166MB,5,88,21,26,5,140,registry.zdfowler.com:5443/httpd.slim,8.08MB,1,0,0,0,0,0,1,0.166,0.00808,0.15792,0,0,0,1
nginx,registry.zdfowler.com:5443/nginx,133MB,5,55,20,19,0,94,registry.zdfowler.com:5443/nginx.slim,11.1MB,1,55,20,19,0,94,1,0.133,0.0111,0.1219,1,1,1,0
memcached,registry.zdfowler.com:5443/memcached,82.3MB,6,32,12,7,0,51,registry.zdfowler.com:5443/memcached.slim,7.72MB,1,0,0,0,0,0,1,0.0823,0.00772,0.07458,0,0,0,1
registry,registry.zdfowler.com:5443/registry,26.2MB,5,0,0,0,0,0,registry.zdfowler.com:5443/registry.slim,21.5MB,1,0,0,0,0,0,1,0.0262,0.0215,0.0047,1,1,0,0
hello-world,registry.zdfowler.com:5443/hello-world,13.3kB,1,0,0,0,0,0,,,,,,,,,0,,,,,,,
docker,registry.zdfowler.com:5443/docker,211MB,7,0,0,0,0,0,,,,,,,,,0,0.211,,,,,,
aerospike,registry.zdfowler.com:5443/aerospike,136MB,4,46,26,28,9,109,registry.zdfowler.com:5443/aerospike.slim,33.4MB,1,0,0,0,0,0,1,0.136,0.0334,0.1026,0,0,0,1
golang,registry.zdfowler.com:5443/golang,839MB,7,159,25,28,6,218,,,,,,,,,0,0.839,,,,,,
python,registry.zdfowler.com:5443/python,882MB,9,222,50,55,6,333,,,,,,,,,0,0.882,,,,,,
openjdk,registry.zdfowler.com:5443/openjdk,511MB,3,0,0,0,0,0,,,,,,,,,0,0.511,,,,,,
rabbitmq,registry.zdfowler.com:5443/rabbitmq,156MB,10,8,21,3,0,32,registry.zdfowler.com:5443/rabbitmq.slim,78.9MB,1,0,0,0,0,0,1,0.156,0.0789,0.0771,0,0,0,1
consul,registry.zdfowler.com:5443/consul,122MB,6,0,0,0,0,0,registry.zdfowler.com:5443/consul.slim,115MB,1,0,0,0,0,0,1,0.122,0.115,0.007,1,1,0,0
centos,registry.zdfowler.com:5443/centos,215MB,1,0,0,0,0,0,,,,,,,,,0,0.215,,,,,,
influxdb,registry.zdfowler.com:5443/influxdb,304MB,8,48,38,25,8,119,registry.zdfowler.com:5443/influxdb.slim,70.7MB,1,0,0,0,0,0,1,0.304,0.0707,0.2333,0,0,0,1
wordpress,registry.zdfowler.com:5443/wordpress,546MB,20,195,39,42,7,283,registry.zdfowler.com:5443/wordpress.slim,139MB,2,0,0,0,0,0,1,0.546,0.139,0.407,0,0,0,1
haproxy,registry.zdfowler.com:5443/haproxy,93.3MB,3,33,12,8,0,53,,,,,,,,,0,0.0933,,,,,,
debian,registry.zdfowler.com:5443/debian,114MB,1,33,11,7,0,51,,,,,,,,,0,0.114,,,,,,
nextcloud,registry.zdfowler.com:5443/nextcloud,752MB,20,196,39,42,6,283,registry.zdfowler.com:5443/nextcloud.slim,396MB,2,0,0,0,0,0,1,0.752,0.396,0.356,0,0,0,1
ruby,registry.zdfowler.com:5443/ruby,842MB,8,212,49,55,6,322,,,,,,,,,0,0.842,,,,,,
php,registry.zdfowler.com:5443/php,405MB,9,146,32,34,5,217,,,,,,,,,0,0.405,,,,,,
maven,registry.zdfowler.com:5443/maven,522MB,6,0,0,0,0,0,,,,,,,,,0,0.522,,,,,,
tomcat,registry.zdfowler.com:5443/tomcat,647MB,10,70,19,16,1,106,registry.zdfowler.com:5443/tomcat.slim,189MB,1,0,0,0,0,0,1,0.647,0.189,0.458,0,0,0,1
crate,registry.zdfowler.com:5443/crate,687MB,8,0,0,1,0,1,registry.zdfowler.com:5443/crate.slim,300MB,2,0,0,0,0,0,1,0.687,0.3,0.387,0,0,0,1
sonarqube,registry.zdfowler.com:5443/sonarqube,461MB,5,0,0,0,0,0,registry.zdfowler.com:5443/sonarqube.slim,444MB,1,0,0,0,0,0,1,0.461,0.444,0.017,1,1,0,0
eclipse-mosquitto,registry.zdfowler.com:5443/eclipse-mosquitto,10.1MB,3,0,0,0,0,0,registry.zdfowler.com:5443/eclipse-mosquitto.slim,4.03MB,1,0,0,0,0,0,1,0.0101,0.00403,0.00607,1,1,0,0
amazonlinux,registry.zdfowler.com:5443/amazonlinux,163MB,1,0,0,2,0,2,,,,,,,,,0,0.163,,,,,,
telegraf,registry.zdfowler.com:5443/telegraf,276MB,7,52,17,15,0,84,registry.zdfowler.com:5443/telegraf.slim,73.6MB,1,0,0,0,0,0,1,0.276,0.0736,0.2024,0,0,0,1
ghost,registry.zdfowler.com:5443/ghost,404MB,9,30,11,7,0,48,registry.zdfowler.com:5443/ghost.slim,80.2MB,1,0,0,0,0,0,1,0.404,0.0802,0.3238,0,0,0,1
vault,registry.zdfowler.com:5443/vault,144MB,5,0,0,0,0,0,registry.zdfowler.com:5443/vault.slim,138MB,1,0,0,0,0,0,1,0.144,0.138,0.006,1,1,0,0
adminer,registry.zdfowler.com:5443/adminer,90.4MB,15,0,0,0,0,0,registry.zdfowler.com:5443/adminer.slim,28.2MB,1,0,0,0,0,0,1,0.0904,0.0282,0.0622,1,1,0,0
kong,registry.zdfowler.com:5443/kong,147MB,4,0,0,0,0,0,registry.zdfowler.com:5443/kong.slim,45.8MB,1,0,0,0,0,0,1,0.147,0.0458,0.1012,1,1,0,0
java,registry.zdfowler.com:5443/java,643MB,8,0,0,0,0,0,,,,,,,,,0,0.643,,,,,,
cassandra,registry.zdfowler.com:5443/cassandra,385MB,12,9,24,6,0,39,registry.zdfowler.com:5443/cassandra.slim,162MB,1,0,0,0,0,0,1,0.385,0.162,0.223,0,0,0,1
bash,registry.zdfowler.com:5443/bash,13.7MB,3,0,0,0,0,0,,,,,,,,,0,0.0137,,,,,,
couchdb,registry.zdfowler.com:5443/couchdb,189MB,11,49,17,14,0,80,registry.zdfowler.com:5443/couchdb.slim,6.64MB,1,0,0,0,0,0,1,0.189,0.00664,0.18236,0,0,0,1
chronograf,registry.zdfowler.com:5443/chronograf,194MB,6,47,30,23,8,108,registry.zdfowler.com:5443/chronograf.slim,85.7MB,1,0,0,0,0,0,1,0.194,0.0857,0.1083,0,0,0,1
gradle,registry.zdfowler.com:5443/gradle,563MB,9,9,28,10,0,47,,,,,,,,,0,0.563,,,,,,
jenkins,registry.zdfowler.com:5443/jenkins,696MB,20,106,120,176,30,432,registry.zdfowler.com:5443/jenkins.slim,194MB,1,0,0,0,0,0,1,0.696,0.194,0.502,0,0,0,1
perl,registry.zdfowler.com:5443/perl,859MB,7,212,49,55,6,322,,,,,,,,,0,0.859,,,,,,
zookeeper,registry.zdfowler.com:5443/zookeeper,252MB,8,46,16,14,0,76,registry.zdfowler.com:5443/zookeeper.slim,141MB,1,0,0,0,0,0,1,0.252,0.141,0.111,0,0,0,1
buildpack-deps,registry.zdfowler.com:5443/buildpack-deps,804MB,5,212,49,55,6,322,,,,,,,,,0,0.804,,,,,,
solr,registry.zdfowler.com:5443/solr,514MB,11,56,17,15,0,88,registry.zdfowler.com:5443/solr.slim,213MB,1,0,0,0,0,0,1,0.514,0.213,0.301,0,0,0,1
nats,registry.zdfowler.com:5443/nats,10.2MB,2,0,0,0,0,0,registry.zdfowler.com:5443/nats.slim,10.2MB,1,0,0,0,0,0,1,0.0102,0.0102,0,1,1,0,0
teamspeak,registry.zdfowler.com:5443/teamspeak,24.6MB,5,0,0,0,0,0,registry.zdfowler.com:5443/teamspeak.slim,16.8MB,2,0,0,0,0,0,1,0.0246,0.0168,0.0078,1,1,0,0
drupal,registry.zdfowler.com:5443/drupal,494MB,18,162,37,37,6,242,registry.zdfowler.com:5443/drupal.slim,83.7MB,1,0,0,0,0,0,1,0.494,0.0837,0.4103,0,0,0,1
percona,registry.zdfowler.com:5443/percona,597MB,7,0,0,0,0,0,registry.zdfowler.com:5443/percona.slim,37.8MB,1,0,0,0,0,0,1,0.597,0.0378,0.5592,1,1,0,0
neo4j,registry.zdfowler.com:5443/neo4j,541MB,8,32,19,8,0,59,registry.zdfowler.com:5443/neo4j.slim,267MB,1,0,0,0,0,0,1,0.541,0.267,0.274,0,0,0,1
mongo-express,registry.zdfowler.com:5443/mongo-express,130MB,8,0,0,0,0,0,registry.zdfowler.com:5443/mongo-express.slim,2.01MB,2,0,0,0,0,0,1,0.13,0.00201,0.12799,1,1,0,0
swarm,registry.zdfowler.com:5443/swarm,12.7MB,3,0,0,0,0,0,registry.zdfowler.com:5443/swarm.slim,12.4MB,1,0,0,0,0,0,1,0.0127,0.0124,0.0003,1,1,0,0
flink,registry.zdfowler.com:5443/flink,623MB,12,56,17,15,0,88,registry.zdfowler.com:5443/flink.slim,4MB,2,0,0,0,0,0,1,0.623,0.004,0.619,0,0,0,1
joomla,registry.zdfowler.com:5443/joomla,458MB,19,162,30,37,6,235,registry.zdfowler.com:5443/joomla.slim,3.43MB,2,0,0,0,0,0,1,0.458,0.00343,0.45457,0,0,0,1
rocket.chat,registry.zdfowler.com:5443/rocket.chat,887MB,4,34,11,7,0,52,registry.zdfowler.com:5443/rocket.chat.slim,71.3MB,1,0,0,0,0,0,1,0.887,0.0713,0.8157,0,0,0,1
groovy,registry.zdfowler.com:5443/groovy,269MB,10,9,25,6,0,40,,,,,,,,,0,0.269,,,,,,
rethinkdb,registry.zdfowler.com:5443/rethinkdb,131MB,5,50,17,14,0,81,registry.zdfowler.com:5443/rethinkdb.slim,60.7MB,2,0,0,0,0,0,1,0.131,0.0607,0.0703,0,0,0,1
matomo,registry.zdfowler.com:5443/matomo,474MB,18,160,37,37,6,240,registry.zdfowler.com:5443/matomo.slim,149MB,2,0,0,0,0,0,1,0.474,0.149,0.325,0,0,0,1
nats-streaming,registry.zdfowler.com:5443/nats-streaming,15.7MB,1,0,0,0,0,0,registry.zdfowler.com:5443/nats-streaming.slim,15.7MB,1,0,0,0,0,0,1,0.0157,0.0157,0,1,1,0,0
owncloud,registry.zdfowler.com:5443/owncloud,618MB,21,176,190,240,81,687,registry.zdfowler.com:5443/owncloud.slim,202MB,2,0,0,0,0,0,1,0.618,0.202,0.416,0,0,0,1
jruby,registry.zdfowler.com:5443/jruby,332MB,11,104,23,27,5,159,,,,,,,,,0,0.332,,,,,,
kapacitor,registry.zdfowler.com:5443/kapacitor,245MB,8,49,38,25,8,120,registry.zdfowler.com:5443/kapacitor.slim,84.3MB,1,0,0,0,0,0,1,0.245,0.0843,0.1607,0,0,0,1
redmine,registry.zdfowler.com:5443/redmine,542MB,13,155,32,40,7,234,registry.zdfowler.com:5443/redmine.slim,55.4MB,1,0,0,0,0,0,1,0.542,0.0554,0.4866,0,0,0,1
erlang,registry.zdfowler.com:5443/erlang,1.22GB,8,214,50,56,6,326,,,,,,,,,0,1.22,,,,,,
composer,registry.zdfowler.com:5443/composer,176MB,15,0,0,0,0,0,,,,,,,,,0,0.176,,,,,,
pypy,registry.zdfowler.com:5443/pypy,932MB,8,212,49,55,6,322,,,,,,,,,0,0.932,,,,,,
mediawiki,registry.zdfowler.com:5443/mediawiki,742MB,20,201,41,44,6,292,registry.zdfowler.com:5443/mediawiki.slim,86.3MB,1,0,0,0,0,0,1,0.742,0.0863,0.6557,0,0,0,1
jetty,registry.zdfowler.com:5443/jetty,522MB,5,0,0,0,0,0,registry.zdfowler.com:5443/jetty.slim,198MB,1,0,0,0,0,0,1,0.522,0.198,0.324,1,1,0,0
elixir,registry.zdfowler.com:5443/elixir,1.23GB,9,214,50,56,6,326,,,,,,,,,0,1.23,,,,,,
mono,registry.zdfowler.com:5443/mono,653MB,4,108,27,26,0,161,,,,,,,,,0,0.653,,,,,,
znc,registry.zdfowler.com:5443/znc,432MB,9,0,0,0,0,0,,,,,,,,,0,0.432,,,,,,
rust,registry.zdfowler.com:5443/rust,1.16GB,6,212,49,55,6,322,,,,,,,,,0,1.16,,,,,,
xwiki,registry.zdfowler.com:5443/xwiki,1.31GB,16,17,44,11,0,72,registry.zdfowler.com:5443/xwiki.slim,648MB,1,0,0,0,0,0,1,1.31,0.648,0.662,0,0,0,1
websphere-liberty,registry.zdfowler.com:5443/websphere-liberty,627MB,16,8,21,2,0,31,registry.zdfowler.com:5443/websphere-liberty.slim,329MB,1,0,0,0,0,0,1,0.627,0.329,0.298,0,0,0,1
odoo,registry.zdfowler.com:5443/odoo,1.2GB,9,80,39,32,1,152,registry.zdfowler.com:5443/odoo.slim,32.2MB,1,0,0,0,0,0,1,1.2,0.0322,1.1678,0,0,0,1
haxe,registry.zdfowler.com:5443/haxe,339MB,7,71,22,17,1,111,,,,,,,,,0,0.339,,,,,,
iojs,registry.zdfowler.com:5443/iojs,649MB,6,0,0,0,0,0,,,,,,,,,0,0.649,,,,,,
arangodb,registry.zdfowler.com:5443/arangodb,279MB,4,0,0,0,0,0,registry.zdfowler.com:5443/arangodb.slim,1.43MB,1,0,0,0,0,0,1,0.279,0.00143,0.27757,1,1,0,0
clojure,registry.zdfowler.com:5443/clojure,585MB,9,46,16,13,0,75,,,,,,,,,0,0.585,,,,,,
tomee,registry.zdfowler.com:5443/tomee,335MB,9,56,17,15,0,88,registry.zdfowler.com:5443/tomee.slim,174MB,1,0,0,0,0,0,1,0.335,0.174,0.161,0,0,0,1
django,registry.zdfowler.com:5443/django,436MB,6,0,0,0,0,0,,,,,,,,,0,0.436,,,,,,
swift,registry.zdfowler.com:5443/swift,1.64GB,6,10,31,10,0,51,,,,,,,,,0,1.64,,,,,,
piwik,registry.zdfowler.com:5443/piwik,449MB,19,176,202,251,96,725,registry.zdfowler.com:5443/piwik.slim,158MB,2,0,0,0,0,0,1,0.449,0.158,0.291,0,0,0,1
ros,registry.zdfowler.com:5443/ros,722MB,14,7,21,9,0,37,,,,,,,,,0,0.722,,,,,,
adoptopenjdk,registry.zdfowler.com:5443/adoptopenjdk,459MB,6,9,24,6,0,39,,,,,,,,,0,0.459,,,,,,
gcc,registry.zdfowler.com:5443/gcc,1.19GB,9,212,49,55,6,322,,,,,,,,,0,1.19,,,,,,
hylang,registry.zdfowler.com:5443/hylang,120MB,6,43,16,13,0,72,,,,,,,,,0,0.12,,,,,,
orientdb,registry.zdfowler.com:5443/orientdb,347MB,6,39,13,9,0,61,registry.zdfowler.com:5443/orientdb.slim,151MB,1,0,0,0,0,0,1,0.347,0.151,0.196,0,0,0,1
ubuntu-debootstrap,registry.zdfowler.com:5443/ubuntu-debootstrap,87.1MB,2,20,74,53,5,152,,,,,,,,,0,0.0871,,,,,,
ibmjava,registry.zdfowler.com:5443/ibmjava,268MB,6,8,21,2,0,31,,,,,,,,,0,0.268,,,,,,
neurodebian,registry.zdfowler.com:5443/neurodebian,133MB,5,47,15,13,0,75,,,,,,,,,0,0.133,,,,,,
rails,registry.zdfowler.com:5443/rails,840MB,11,0,0,0,0,0,,,,,,,,,0,0.84,,,,,,
caddy,registry.zdfowler.com:5443/caddy,43MB,5,0,0,0,0,0,registry.zdfowler.com:5443/caddy.slim,37MB,2,0,0,0,0,0,1,0.043,0.037,0.006,1,1,0,0
julia,registry.zdfowler.com:5443/julia,460MB,3,39,13,8,0,60,,,,,,,,,0,0.46,,,,,,
amazoncorretto,registry.zdfowler.com:5443/amazoncorretto,344MB,2,0,0,2,0,2,,,,,,,,,0,0.344,,,,,,
open-liberty,registry.zdfowler.com:5443/open-liberty,497MB,14,9,25,6,0,40,registry.zdfowler.com:5443/open-liberty.slim,328MB,1,0,0,0,0,0,1,0.497,0.328,0.169,0,0,0,1
irssi,registry.zdfowler.com:5443/irssi,167MB,4,33,12,8,0,53,,,,,,,,,0,0.167,,,,,,
backdrop,registry.zdfowler.com:5443/backdrop,450MB,18,162,30,37,6,235,registry.zdfowler.com:5443/backdrop.slim,3.43MB,2,0,0,0,0,0,1,0.45,0.00343,0.44657,0,0,0,1
cirros,registry.zdfowler.com:5443/cirros,12.6MB,3,0,0,0,0,0,,,,,,,,,0,0.0126,,,,,,
plone,registry.zdfowler.com:5443/plone,558MB,9,94,58,36,9,197,registry.zdfowler.com:5443/plone.slim,89.7MB,1,0,0,0,0,0,1,0.558,0.0897,0.4683,0,0,0,1
haskell,registry.zdfowler.com:5443/haskell,1.5GB,4,154,24,28,5,211,,,,,,,,,0,1.5,,,,,,
clearlinux,registry.zdfowler.com:5443/clearlinux,171MB,1,0,0,0,0,0,,,,,,,,,0,0.171,,,,,,
storm,registry.zdfowler.com:5443/storm,577MB,8,52,17,14,1,84,,,,,,,,,0,0.577,,,,,,
bonita,registry.zdfowler.com:5443/bonita,468MB,11,13,28,18,0,59,registry.zdfowler.com:5443/bonita.slim,304MB,1,0,0,0,0,0,1,0.468,0.304,0.164,0,0,0,1
php-zendserver,registry.zdfowler.com:5443/php-zendserver,1.22GB,15,12,34,29,0,75,registry.zdfowler.com:5443/php-zendserver.slim,416MB,2,0,0,0,0,0,1,1.22,0.416,0.804,0,0,0,1
gazebo,registry.zdfowler.com:5443/gazebo,1.88GB,11,10,31,31,0,72,registry.zdfowler.com:5443/gazebo.slim,359MB,1,0,0,0,0,0,1,1.88,0.359,1.521,0,0,0,1
nuxeo,registry.zdfowler.com:5443/nuxeo,1.85GB,14,133,75,64,3,275,registry.zdfowler.com:5443/nuxeo.slim,555MB,1,0,0,0,0,0,1,1.85,0.555,1.295,0,0,0,1
r-base,registry.zdfowler.com:5443/r-base,764MB,6,111,11,13,2,137,,,,,,,,,0,0.764,,,,,,
geonetwork,registry.zdfowler.com:5443/geonetwork,835MB,12,70,19,16,1,106,registry.zdfowler.com:5443/geonetwork.slim,360MB,1,0,0,0,0,0,1,0.835,0.36,0.475,0,0,0,1
lightstreamer,registry.zdfowler.com:5443/lightstreamer,683MB,9,70,19,16,1,106,registry.zdfowler.com:5443/lightstreamer.slim,193MB,1,0,0,0,0,0,1,0.683,0.193,0.49,0,0,0,1
convertigo,registry.zdfowler.com:5443/convertigo,770MB,17,70,19,16,1,106,registry.zdfowler.com:5443/convertigo.slim,280MB,2,0,0,0,0,0,1,0.77,0.28,0.49,0,0,0,1
fluentd,registry.zdfowler.com:5443/fluentd,44.9MB,5,0,0,0,0,0,registry.zdfowler.com:5443/fluentd.slim,12.6MB,1,0,0,0,0,0,1,0.0449,0.0126,0.0323,1,1,0,0
celery,registry.zdfowler.com:5443/celery,216MB,9,0,0,0,0,0,,,,,,,,,0,0.216,,,,,,
fsharp,registry.zdfowler.com:5443/fsharp,607MB,2,106,24,19,0,149,,,,,,,,,0,0.607,,,,,,
eggdrop,registry.zdfowler.com:5443/eggdrop,22.7MB,7,0,0,0,0,0,registry.zdfowler.com:5443/eggdrop.slim,2.84MB,1,0,0,0,0,0,1,0.0227,0.00284,0.01986,1,1,0,0
swipl,registry.zdfowler.com:5443/swipl,147MB,3,53,34,31,9,127,,,,,,,,,0,0.147,,,,,,
varnish,registry.zdfowler.com:5443/varnish,201MB,3,125,18,21,5,169,registry.zdfowler.com:5443/varnish.slim,136MB,1,0,0,0,0,0,1,0.201,0.136,0.065,0,0,0,1
thrift,registry.zdfowler.com:5443/thrift,125MB,5,8,21,3,0,32,,,,,,,,,0,0.125,,,,,,
rakudo-star,registry.zdfowler.com:5443/rakudo-star,396MB,6,67,19,16,1,103,,,,,,,,,0,0.396,,,,,,
spiped,registry.zdfowler.com:5443/spiped,101MB,6,80,18,19,5,122,,,,,,,,,0,0.101,,,,,,
rapidoid,registry.zdfowler.com:5443/rapidoid,207MB,6,49,17,14,0,80,registry.zdfowler.com:5443/rapidoid.slim,99.1MB,1,0,0,0,0,0,1,0.207,0.0991,0.1079,0,0,0,1
express-gateway,registry.zdfowler.com:5443/express-gateway,125MB,6,0,0,0,0,0,registry.zdfowler.com:5443/express-gateway.slim,51.5MB,1,0,0,0,0,0,1,0.125,0.0515,0.0735,1,1,0,0
hello-seattle,registry.zdfowler.com:5443/hello-seattle,1.86kB,1,0,0,0,0,0,,,,,,,,,0,,,,,,,
postfixadmin,registry.zdfowler.com:5443/postfixadmin,417MB,18,157,27,36,6,226,registry.zdfowler.com:5443/postfixadmin.slim,98.7MB,1,0,0,0,0,0,1,0.417,0.0987,0.3183,0,0,0,1
ubuntu-upstart,registry.zdfowler.com:5443/ubuntu-upstart,253MB,15,30,148,115,10,303,registry.zdfowler.com:5443/ubuntu-upstart.slim,3.41MB,1,0,0,0,0,0,1,0.253,0.00341,0.24959,0,0,0,1
kaazing-gateway,registry.zdfowler.com:5443/kaazing-gateway,285MB,9,56,17,15,0,88,registry.zdfowler.com:5443/kaazing-gateway.slim,119MB,1,0,0,0,0,0,1,0.285,0.119,0.166,0,0,0,1
mageia,registry.zdfowler.com:5443/mageia,327MB,,,,,,,,,,,,,,,0,0.327,,,,,,
archlinux,registry.zdfowler.com:5443/archlinux,415MB,6,0,0,0,0,0,,,,,,,,,0,0.415,,,,,,
glassfish,registry.zdfowler.com:5443/glassfish,773MB,10,0,0,0,0,0,registry.zdfowler.com:5443/glassfish.slim,286MB,1,0,0,0,0,0,1,0.773,0.286,0.487,1,1,0,0
hola-mundo,registry.zdfowler.com:5443/hola-mundo,1.86kB,1,0,0,0,0,0,,,,,,,,,0,,,,,,,
silverpeas,registry.zdfowler.com:5443/silverpeas,2.47GB,16,19,70,49,0,138,registry.zdfowler.com:5443/silverpeas.slim,5.86MB,2,0,0,0,0,0,1,2.47,0.00586,2.46414,0,0,0,1
known,registry.zdfowler.com:5443/known,463MB,15,160,179,227,76,642,registry.zdfowler.com:5443/known.slim,3.36MB,2,0,0,0,0,0,1,0.463,0.00336,0.45964,0,0,0,1
crux,registry.zdfowler.com:5443/crux,454MB,1,0,0,0,0,0,,,,,,,,,0,0.454,,,,,,
sourcemage,registry.zdfowler.com:5443/sourcemage,723MB,1,0,0,0,0,0,,,,,,,,,0,0.723,,,,,,
sl,registry.zdfowler.com:5443/sl,177MB,1,0,0,0,0,0,,,,,,,,,0,0.177,,,,,,
euleros,registry.zdfowler.com:5443/euleros,143MB,1,0,0,0,0,0,,,,,,,,,0,0.143,,,,,,
friendica,registry.zdfowler.com:5443/friendica,611MB,22,194,32,43,6,275,registry.zdfowler.com:5443/friendica.slim,219MB,2,0,0,0,0,0,1,0.611,0.219,0.392,0,0,0,1
jobber,registry.zdfowler.com:5443/jobber,32.1MB,5,0,0,0,0,0,,,,,,,,,0,0.0321,,,,,,
hipache,registry.zdfowler.com:5443/hipache,371MB,15,30,125,108,7,270,registry.zdfowler.com:5443/hipache.slim,20.9MB,1,0,0,0,0,0,1,0.371,0.0209,0.3501,0,0,0,1
sapmachine,registry.zdfowler.com:5443/sapmachine,449MB,6,5,15,7,0,27,,,,,,,,,0,0.449,,,,,,
,,,,,,,,,,,,,,,,,81,,,0.348000759,22,22,1,59
,,,,,,,,,,,,,,,,,slimmed?,,,avg reduction,same vulns,,slimmed and SOME vulns remained,"slimmed, reduced vluns"
,,,,,,,,,,,,,,,,,,,,,,,,
